Instrumento;Link Externo;UF;Municipio;CNPJ;Nome Proponente;Modalidade;Emenda;Objeto;Situacao;Natureza Juridica;Inicio Vigencia;Fim Vigencia; Valor Global ;Valor Empenhado; Valor Liberado ;Valor de Contrapartida; Total em Movimentacoes Financeiras ; Saldo em conta ; Vl Devolvido ;PC Informatizada;Relatorios de Execucao;Acao de Monitoramnto;Percental  Exec;Parecer Financeiro;Grau de Prioridade;Acao de Analise de PC;Data Limite para Apresentar PC;Data de Envio da  PC;Dias de Atraso Envio da PC;Status de Execucao;Analise de Equipamentos;Percentual de Evolucao da Analise;Parecer Tec -Merito;Pareceres Incluidos na Plataforma;Execucao  Financeira Concedente  e Convenente;Devolucao de Saldo p Uniao;Resto a Pagar ;Tecnico / Analista;Processo SEI;Nota de Risco;Limite Toler  Risco;Faixa de Risco;Data de Vinculo Fiscal ;Dias apos Envio da PC;ANOTACOES OBS;Ano;Ingresso de $; ALERTA de Execucao Financeira ; ALERTA Sem Desembolso ; ALERTA Sem Pgt + 150 Dias ; Acordao  TCU1203 ; GRAU DE PRIORIDADE ;
766222;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=485998&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778326000156;MUNICIPIO DE JOAO PESSOA;CONTRATO DE REPASSE;NÃO;Ampliação das portas de entrada hospitalares do Hospital Municipal Santa Isabel.;Convênio Anulado;Administração Pública Municipal;31/12/2011;30/04/2014; 2.939.150,00 ; -   ; -   ; 117.566,00 ; -   ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;29/06/2014;26/03/2022;2827;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 0,00%   |  Convenente: -;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;050100/2011;-;;;Sem Vínculo;-; ;2011;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
766224;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=486162&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778268000160;SECRETARIA DE ESTADO DA SAUDE - SES;CONTRATO DE REPASSE;SIM;CONSTRUÇÃO DO HOSPITAL METROPOLITANO DE SANTA RITA;Prestação de Contas Concluída;Administração Pública Estadual ou do Distrito Federal;31/12/2011;01/04/2019; 43.950.000,00 ; 21.369.551,00 ; 21.369.551,00 ; 22.580.449,00 ; 43.037.650,99 ; -   ; 6.899.499,20 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;25/05/2019;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 97,92%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;050225/2011;-;;;Sem Vínculo;-; ;2011;22.580.449,00;Negativo;-;-;NÃO;INDEFINIDO;*
766226;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=486514&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778326000156;MUNICIPIO DE JOAO PESSOA;CONTRATO DE REPASSE;NÃO;"- Construir uma casa da gestante, bebê e puérpera;";Prestação de Contas Concluída;Administração Pública Municipal;31/12/2011;29/03/2020; 403.639,76 ; 335.000,00 ; 335.000,00 ; 68.639,76 ; 377.436,81 ; -   ; 129.340,56 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;22/07/2020;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 93,51%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;050488/2011;0,476764906;;;Sem Vínculo;-; ;2011;68.639,76;Negativo;-;-;NÃO;INDEFINIDO;*
766406;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=465963&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;06101061000121;FUNDACAO PEDRO AMERICO;CONVENIO;SIM;AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE.;Prestação de Contas Concluída;Organização da Sociedade Civil;30/12/2011;31/03/2021; 1.000.000,00 ; 1.000.000,00 ; 1.000.000,00 ; -   ; -   ; -   ; 75.487,09 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;12/09/2023;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 0,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;JULIO;25000220949201116;0,871309;;;30/12/2023;-; ;2011;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
766591;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=451978&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;SIM;AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR PARA O HOSPITAL NAPOLEÃO LAUREANO MANTIDO PELA FUNDAÇÃO LAUREANO;Prestação de Contas Concluída;Organização da Sociedade Civil;27/12/2011;28/12/2014; 347.010,00 ; 347.010,00 ; 347.010,00 ; -   ; 347.010,00 ; -   ; 12.684,81 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;27/01/2015;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000222682201100;-;;;Sem Vínculo;-; ;2011;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
767881;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=482405&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778326000156;MUNICIPIO DE JOAO PESSOA;CONTRATO DE REPASSE;NÃO;Obra de Ampliação do Centro de Especialidades Odontológicas  -  CEO Mangabeira.;Prestação de Contas Concluída;Administração Pública Municipal;31/12/2011;15/07/2021; 673.036,00 ; 646.114,56 ; 646.114,56 ; 26.921,44 ; 439.365,59 ; -   ; 473.775,29 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;13/09/2021;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 65,28%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;047662/2011;0,619362146;;;Sem Vínculo;-; ;2011;26.921,44;Negativo;-;-;NÃO;INDEFINIDO;*
768469;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=467396&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;08993917000146;MUNICIPIO DE CAMPINA GRANDE;CONTRATO DE REPASSE;NÃO;REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE.;Prestação de Contas Concluída;Administração Pública Municipal;31/12/2011;31/12/2018; 200.000,00 ; 192.000,00 ; 192.000,00 ; 8.000,00 ; 58.000,00 ; -   ; 161.378,50 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;13/03/2019;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 29,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;036134/2011;-;;;Sem Vínculo;-; ;2011;8.000,00;Negativo;-;-;NÃO;INDEFINIDO;*
768831;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=466461&Usr=guest&Pwd=guest;PB;SANTA RITA;09433715000102;FUNDACAO GOVERNADOR FLAVIO RIBEIRO COUTINHO;CONVENIO;SIM;AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES.;Prestação de Contas Concluída;Organização da Sociedade Civil;30/12/2011;06/08/2016; 200.000,00 ; 200.000,00 ; 200.000,00 ; -   ; 200.000,00 ; -   ; -   ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;17/10/2018;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000227963201141;0,904666069;;;05/10/2016;-; ;2011;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
771253;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=602516&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;12671814000137;UNIVERSIDADE ESTADUAL DA PARAIBA;CONVENIO;NÃO;Complementar a atuação NUTES para a prestação de serviços tecnológicos ao SUS e para o desenvolvimento de tecnologias estratégicas a saúde mediante a aquisição de equipamentos e material permanentes.;Prestação de Contas em Complementação;Administração Pública Estadual ou do Distrito Federal;06/07/2012;29/02/2024; 4.036.090,00 ; 3.500.000,00 ; 3.500.000,00 ; 185.000,00 ; 3.833.195,32 ; -   ; 428.389,41 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;23/06/2026;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 97,20%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;JOSIELY;25000.102453/2012-42;-;;;28/12/2023;43; ;2012;92.500,00;Negativo;-;-;NÃO;INDEFINIDO;46239
771983;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=598627&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778268000160;SECRETARIA DE ESTADO DA SAUDE - SES;CONTRATO DE REPASSE;NÃO;Construção de uma Oficina Ortopédica destinada à confecção e adaptação de órteses e próteses - calçados, palmilhas e meios auxiliares de locomoção, localizada no município de João Pessoa-PB, para atender a demanda das Unidades de Reabilitação Física, proposta esta que compõe a estruturação da Rede de Atenção a Saúde das  Pessoa com Deficiência no Estado da PB.;Prestação de Contas Concluída;Administração Pública Estadual ou do Distrito Federal;29/09/2012;30/04/2023; 765.807,88 ; 247.000,00 ; 247.000,00 ; 518.807,88 ; 726.784,82 ; -   ; 54.239,75 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;29/06/2023;01/11/2019;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 95,62%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;026178/2012;0,254087;1,0000000;A;Sem Vínculo;-; ;2012;513.044,05;Negativo;-;-;NÃO;INDEFINIDO;*
771988;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=599459&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778268000160;SECRETARIA DE ESTADO DA SAUDE - SES;CONTRATO DE REPASSE;NÃO;Construção de um Centro Especializado de Reabilitação IV (CER IV), no município de Sousa, localizado no Alto-Sertão do Estado da Paraíba  considerando a Portaria n. 835, de 25 de abril de 2012.;Prestação de Contas Concluída;Administração Pública Estadual ou do Distrito Federal;29/09/2012;30/04/2019; 5.500.000,00 ; 1.000.000,00 ; 1.000.000,00 ; 500.000,00 ; 927.869,44 ; -   ; 529.286,89 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;29/06/2019;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 20,00%   |  Convenente: 69,67%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;026785/2012;-;;;Sem Vínculo;-; ;2012;331.713,33;Negativo;-;-;NÃO;INDEFINIDO;*
772015;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=607793&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778268000160;SECRETARIA DE ESTADO DA SAUDE - SES;CONTRATO DE REPASSE;NÃO;Construção de uma Unidade de Assistência de Alta Complexidade em Oncologia (UNACON), no município de Patos, localizado no alto sertão da Paraíba.;Prestação de Contas Concluída;Administração Pública Estadual ou do Distrito Federal;28/09/2012;27/05/2018; 3.799.699,31 ; 2.788.025,42 ; 2.788.025,42 ; 1.011.673,89 ; 3.686.624,38 ; -   ; 171.584,61 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;09/11/2018;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 97,02%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;031617/2012;0,47983021;;;Sem Vínculo;-; ;2012;1.011.673,89;Negativo;-;-;NÃO;INDEFINIDO;*
772458;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=604253&Usr=guest&Pwd=guest;PB;CUITÉ;08732174000150;MUNICIPIO DE CUITE;CONTRATO DE REPASSE;NÃO;Construção de um Centro de Reabilitação em Cuité - PB;Prestação de Contas Concluída;Administração Pública Municipal;01/11/2012;30/12/2018; 2.551.021,00 ; 50.000,00 ; 50.000,00 ; 51.021,00 ; -   ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;28/02/2019;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 2,00%   |  Convenente: 0,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;029482/2012;-;;;Sem Vínculo;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
775277;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=628409&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778268000160;SECRETARIA DE ESTADO DA SAUDE - SES;CONVENIO;NÃO;AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE HEMATOLOGIA E HEMOTERAPIA;Prestação de Contas Concluída;Administração Pública Estadual ou do Distrito Federal;11/12/2012;28/06/2018; 250.000,00 ; 120.000,00 ; 120.000,00 ; 81.996,45 ; 250.000,00 ; -   ; -   ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;28/07/2018;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;JULIO;25000.185234/2012-91;0,498060929;;;31/12/2019;-; ;2012;81.996,45;Negativo;-;-;NÃO;INDEFINIDO;*
775529;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=615760&Usr=guest&Pwd=guest;PB;BELÉM;08928517000157;MUNICIPIO DE BELEM;CONTRATO DE REPASSE;NÃO;Ampliação de estrutura para realização de serviços de referência para Diagnóstico e Tratamento do Câncer de Mama (SDM) e Câncer do Colo do Útero (SRC).;Convênio Anulado;Administração Pública Municipal;01/12/2012;01/11/2015; 1.100.000,00 ; -   ; -   ; 22.000,00 ; -   ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;31/12/2015;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 0,00%   |  Convenente: -;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;035561/2012;-;;;Sem Vínculo;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
776003;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=608169&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;08841421000157;FUNDACAO ASSISTENCIAL DA PARAIBA- FAP;CONVENIO;SIM;Aquisição de Equipamento e Material Permanente para Unidade de Atenção Especializada em Saúde;Prestação de Contas Concluída;Organização da Sociedade Civil;26/12/2012;30/11/2014; 98.000,00 ; 98.000,00 ; 98.000,00 ; -   ; 93.000,00 ; -   ; 10.832,90 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;08/01/2016;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 94,90%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000.205211/2012-18;-;;;Sem Vínculo;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
776016;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=608100&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;08841421000157;FUNDACAO ASSISTENCIAL DA PARAIBA- FAP;CONVENIO;SIM;Aquisição de Equipamento e Material Permanente para Unidade de Atenção Especializada em Saúde;Prestação de Contas Concluída;Organização da Sociedade Civil;26/12/2012;30/11/2014; 100.000,00 ; 100.000,00 ; 100.000,00 ; -   ; 80.000,00 ; -   ; 27.396,22 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;08/01/2016;22/09/2017;623;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 80,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;25000.205219/2012-76;-;;;Sem Vínculo;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
777165;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=599827&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08778268000160;SECRETARIA DE ESTADO DA SAUDE - SES;CONTRATO DE REPASSE;NÃO;Reforma - Adequação da ambiência para  o Hospital Regional de Cajazeiras;Convênio Anulado;Administração Pública Estadual ou do Distrito Federal;31/12/2012;30/12/2016; 275.000,00 ; -   ; -   ; 25.000,00 ; -   ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;28/02/2017;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 0,00%   |  Convenente: -;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;027087/2012;-;;;Sem Vínculo;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
778697;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=625136&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;08715618000140;FUNDO MUNICIPAL DE SAUDE;CONVENIO;SIM;Capacitar e mobilizar lideranças dos movimentos negros na pespectiva da promoção da equidade no SUS.;Prestação de Contas Concluída;Administração Pública Municipal;21/12/2012;25/07/2017; 208.333,33 ; 200.000,00 ; 200.000,00 ; 8.333,33 ; -   ; -   ; 277.775,46 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;23/09/2017;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 0,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;JULIO;25000212149201211;0,787753812;;;31/12/2019;-; ;2012;17.665,00;Negativo;-;-;NÃO;INDEFINIDO;*
779089;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=606027&Usr=guest&Pwd=guest;PB;CUITÉ;08732174000150;MUNICIPIO DE CUITE;CONTRATO DE REPASSE;NÃO;AMPLIAÇÃO DO HOSPITAL E MATERNIDADE MUNICÍPIO DE CUITE - PB;Convênio Anulado;Administração Pública Municipal;31/12/2012;01/07/2015; 408.164,00 ; -   ; -   ; 8.164,00 ; -   ; -   ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;30/08/2015;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 0,00%   |  Convenente: -;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;030520/2012;-;;;Sem Vínculo;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
781420;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=605539&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;SIM;AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES;Prestação de Contas Concluída;Organização da Sociedade Civil;29/12/2012;02/12/2017; 645.960,00 ; 620.000,00 ; 620.000,00 ; -   ; 645.960,00 ; -   ; 22.248,94 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;31/01/2018;04/02/2019;369;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000227209201291;-;;;02/12/2016;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
781529;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=605538&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONVENIO;SIM;AQUISIÇÃO DO EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAUDE;Prestação de Contas Concluída;Organização da Sociedade Civil;29/12/2012;30/05/2015; 900.000,00 ; 900.000,00 ; 900.000,00 ; -   ; 760.000,00 ; -   ; 193.983,04 ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;29/07/2015;26/03/2022;2432;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 84,44%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000.227522/2012-20;-;;;29/07/2016;-; ;2012;0,00;Negativo;-;-;NÃO;INDEFINIDO;*
782134;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=605544&Usr=guest&Pwd=guest;PB;JOÃO PESSOA;09112236000194;FUNDACAO NAPOLEAO LAUREANO;CONTRATO DE REPASSE;SIM;REFORMA DA UNIDADE DE SAÚDE;Prestação de Contas Concluída;Organização da Sociedade Civil;31/12/2012;31/12/2020; 957.261,71 ; 950.000,00 ; 950.000,00 ; 7.261,71 ; 957.251,51 ; -   ; 180.366,64 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;01/03/2021;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 100,00%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;Fiscal Não Identificado;030238/2012;0,699741345;;;Sem Vínculo;-; ;2012;7.261,71;Negativo;-;-;NÃO;INDEFINIDO;*
787289;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=740150&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;12671814000137;UNIVERSIDADE ESTADUAL DA PARAIBA;CONVENIO;NÃO;Reforma de unidade do complexo industrial e produtivo da saúde;Prestação de Contas Concluída;Administração Pública Estadual ou do Distrito Federal;02/12/2013;30/06/2019; 1.685.236,11 ; 1.425.000,00 ; 1.425.000,00 ; 75.000,00 ; 1.685.236,11 ; -   ; 90.412,01 ;SIM;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;Indefinida;NÃO HOUVE DESEMBOLSO;29/08/2019;22/02/2019;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 100,00%   |  Convenente: 95,74%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000162076201381;0,711912;1,0000000;A;30/04/2017;-; ;2013;150.000,00;Negativo;-;-;NÃO;INDEFINIDO;*
787296;https://discricionarias.transferegov.sistema.gov.br/voluntarias/ConsultarProposta/ResultadoDaConsultaDePropostaDetalharProposta.do?idProposta=740903&Usr=guest&Pwd=guest;PB;CAMPINA GRANDE;12671814000137;UNIVERSIDADE ESTADUAL DA PARAIBA;CONVENIO;NÃO;Construção de Unidade de Complexo Industrial da Saúde;Em execução;Administração Pública Estadual ou do Distrito Federal;20/12/2013;13/12/2026; 15.000.000,00 ; 14.000.000,00 ; 4.000.000,00 ; 1.000.000,00 ; 911.553,70 ; 7.013.031,05 ; -   ;NÃO;PENDENTE;MONITORAR  DESEMBOLSO;0%;PENDENTE;4ª Prioridade;NÃO HOUVE DESEMBOLSO;11/02/2027;;0;Baixa Execução;PENDENTE;0,00%;PENDENTE;NÃO INCLUÍDOS;FNS: 28,57%   |  Convenente: 18,23%;SEM INFORMAÇÃO;SEM IFORMAÇÃO;FRANCIBERTO;25000162156201337;-;;;20/09/2022;-; ;2013;1.000.000,00;Até 90 dias;Acima de 365 dias;Não;NÃO;4ª Prioridade;*
